# solver	iter	edge-congestion
semimcfraeke	0	
		(s1,s2) : 0.465661287308
		(s1,s3) : 0.465661287308
		(s1,h1) : 0.00186264514923
		(s2,s1) : 0.465661287308
		(s2,s3) : 0.465661287308
		(s2,h2) : 0.00186264514923
		(s3,s2) : 0.465661287308
		(s3,s1) : 0.465661287308
		(s3,h3) : 0.00186264514923
		(h1,s1) : 0.00186264514923
		(h2,s2) : 0.00186264514923
		(h3,s3) : 0.00186264514923
semimcfraeke	1	
		(s1,s2) : 0.465661287308
		(s1,s3) : 0.465661287308
		(s1,h1) : 0.00186264514923
		(s2,s1) : 0.465661287308
		(s2,s3) : 0.465661287308
		(s2,h2) : 0.00186264514923
		(s3,s2) : 0.465661287308
		(s3,s1) : 0.465661287308
		(s3,h3) : 0.00186264514923
		(h1,s1) : 0.00186264514923
		(h2,s2) : 0.00186264514923
		(h3,s3) : 0.00186264514923
semimcfraeke	2	
		(s1,s2) : 0.465661287308
		(s1,s3) : 0.465661287308
		(s1,h1) : 0.00186264514923
		(s2,s1) : 0.465661287308
		(s2,s3) : 0.465661287308
		(s2,h2) : 0.00186264514923
		(s3,s2) : 0.465661287308
		(s3,s1) : 0.465661287308
		(s3,h3) : 0.00186264514923
		(h1,s1) : 0.00186264514923
		(h2,s2) : 0.00186264514923
		(h3,s3) : 0.00186264514923
semimcfraeke	3	
		(s1,s2) : 0.465661287308
		(s1,s3) : 0.465661287308
		(s1,h1) : 0.00186264514923
		(s2,s1) : 0.465661287308
		(s2,s3) : 0.465661287308
		(s2,h2) : 0.00186264514923
		(s3,s2) : 0.465661287308
		(s3,s1) : 0.465661287308
		(s3,h3) : 0.00186264514923
		(h1,s1) : 0.00186264514923
		(h2,s2) : 0.00186264514923
		(h3,s3) : 0.00186264514923
semimcfraeke	4	
		(s1,s2) : 0.465661287308
		(s1,s3) : 0.465661287308
		(s1,h1) : 0.00186264514923
		(s2,s1) : 0.465661287308
		(s2,s3) : 0.465661287308
		(s2,h2) : 0.00186264514923
		(s3,s2) : 0.465661287308
		(s3,s1) : 0.465661287308
		(s3,h3) : 0.00186264514923
		(h1,s1) : 0.00186264514923
		(h2,s2) : 0.00186264514923
		(h3,s3) : 0.00186264514923
semimcfraeke	5	
		(s1,s2) : 0.465661287308
		(s1,s3) : 0.465661287308
		(s1,h1) : 0.00186264514923
		(s2,s1) : 0.465661287308
		(s2,s3) : 0.465661287308
		(s2,h2) : 0.00186264514923
		(s3,s2) : 0.465661287308
		(s3,s1) : 0.465661287308
		(s3,h3) : 0.00186264514923
		(h1,s1) : 0.00186264514923
		(h2,s2) : 0.00186264514923
		(h3,s3) : 0.00186264514923
semimcfraeke	6	
		(s1,s2) : 0.465661287308
		(s1,s3) : 0.465661287308
		(s1,h1) : 0.00186264514923
		(s2,s1) : 0.465661287308
		(s2,s3) : 0.465661287308
		(s2,h2) : 0.00186264514923
		(s3,s2) : 0.465661287308
		(s3,s1) : 0.465661287308
		(s3,h3) : 0.00186264514923
		(h1,s1) : 0.00186264514923
		(h2,s2) : 0.00186264514923
		(h3,s3) : 0.00186264514923
semimcfraeke	7	
		(s1,s2) : 0.465661287308
		(s1,s3) : 0.465661287308
		(s1,h1) : 0.00186264514923
		(s2,s1) : 0.465661287308
		(s2,s3) : 0.465661287308
		(s2,h2) : 0.00186264514923
		(s3,s2) : 0.465661287308
		(s3,s1) : 0.465661287308
		(s3,h3) : 0.00186264514923
		(h1,s1) : 0.00186264514923
		(h2,s2) : 0.00186264514923
		(h3,s3) : 0.00186264514923
semimcfraeke	8	
		(s1,s2) : 0.465661287308
		(s1,s3) : 0.465661287308
		(s1,h1) : 0.00186264514923
		(s2,s1) : 0.465661287308
		(s2,s3) : 0.465661287308
		(s2,h2) : 0.00186264514923
		(s3,s2) : 0.465661287308
		(s3,s1) : 0.465661287308
		(s3,h3) : 0.00186264514923
		(h1,s1) : 0.00186264514923
		(h2,s2) : 0.00186264514923
		(h3,s3) : 0.00186264514923
semimcfraeke	9	
		(s1,s2) : 0.465661287308
		(s1,s3) : 0.465661287308
		(s1,h1) : 0.00186264514923
		(s2,s1) : 0.465661287308
		(s2,s3) : 0.465661287308
		(s2,h2) : 0.00186264514923
		(s3,s2) : 0.465661287308
		(s3,s1) : 0.465661287308
		(s3,h3) : 0.00186264514923
		(h1,s1) : 0.00186264514923
		(h2,s2) : 0.00186264514923
		(h3,s3) : 0.00186264514923
semimcfraeke	10	
		(s1,s2) : 0.465661287308
		(s1,s3) : 0.465661287308
		(s1,h1) : 0.00186264514923
		(s2,s1) : 0.465661287308
		(s2,s3) : 0.465661287308
		(s2,h2) : 0.00186264514923
		(s3,s2) : 0.465661287308
		(s3,s1) : 0.465661287308
		(s3,h3) : 0.00186264514923
		(h1,s1) : 0.00186264514923
		(h2,s2) : 0.00186264514923
		(h3,s3) : 0.00186264514923
semimcfraeke	11	
		(s1,s2) : 0.465661287308
		(s1,s3) : 0.465661287308
		(s1,h1) : 0.00186264514923
		(s2,s1) : 0.465661287308
		(s2,s3) : 0.465661287308
		(s2,h2) : 0.00186264514923
		(s3,s2) : 0.465661287308
		(s3,s1) : 0.465661287308
		(s3,h3) : 0.00186264514923
		(h1,s1) : 0.00186264514923
		(h2,s2) : 0.00186264514923
		(h3,s3) : 0.00186264514923
semimcfraeke	12	
		(s1,s2) : 0.465661287308
		(s1,s3) : 0.465661287308
		(s1,h1) : 0.00186264514923
		(s2,s1) : 0.465661287308
		(s2,s3) : 0.465661287308
		(s2,h2) : 0.00186264514923
		(s3,s2) : 0.465661287308
		(s3,s1) : 0.465661287308
		(s3,h3) : 0.00186264514923
