# solver	iter	total-throughput	stddev
semimcfraeke	0	1.000000	0.000000
semimcfraeke	1	1.000000	0.000000
semimcfraeke	2	1.000000	0.000000
semimcfraeke	3	1.000000	0.000000
semimcfraeke	4	1.000000	0.000000
semimcfraeke	5	1.000000	0.000000
semimcfraeke	6	1.000000	0.000000
semimcfraeke	7	1.000000	0.000000
semimcfraeke	8	1.000000	0.000000
semimcfraeke	9	1.000000	0.000000
semimcfraeke	10	1.000000	0.000000
semimcfraeke	11	1.000000	0.000000
semimcfraeke	12	1.000000	0.000000
semimcfraeke	13	1.000000	0.000000
semimcfraeke	14	1.000000	0.000000
semimcfraeke	15	1.000000	0.000000
semimcfraeke	16	1.000000	0.000000
semimcfraeke	17	1.000000	0.000000
semimcfraeke	18	1.000000	0.000000
semimcfraeke	19	1.000000	0.000000
semimcfraeke	20	1.000000	0.000000
semimcfraeke	21	1.000000	0.000000
semimcfraeke	22	1.000000	0.000000
semimcfraeke	23	1.000000	0.000000
semimcfraeke	24	1.000000	0.000000
semimcfraeke	25	1.000000	0.000000
semimcfraeke	26	1.000000	0.000000
semimcfraeke	27	1.000000	0.000000

