# solver	iter	edge-exp-congestion
semimcfraeke	0	
		(s1,s2) : 2.22053650348e-06
		(s1,s4) : 1.58679847186e-06
		(s1,h1) : 9.21453174204e-10
		(s2,s1) : 4.69949908555e-07
		(s2,s3) : 2.17124294071e-06
		(s2,h2) : 7.69695734605e-10
		(s3,s2) : 2.11690701544e-08
		(s3,s4) : 7.04676192254e-08
		(s3,h3) : 4.39177944418e-09
		(s4,s3) : 2.22053650348e-06
		(s4,s1) : 8.88729587197e-07
		(s4,h4) : 8.46533439122e-10
		(h1,s1) : 3.37010865379e-09
		(h2,s2) : 1.16918301024e-09
		(h3,s3) : 9.16366893798e-11
		(h4,s4) : 2.2985334387e-09
semimcfraeke	1	
		(s1,s2) : 2.4620131636e-06
		(s1,s4) : 1.77049856633e-06
		(s1,h1) : 9.63751472533e-10
		(s2,s1) : 4.60572115146e-07
		(s2,s3) : 2.16634956561e-06
		(s2,h2) : 1.01238674019e-09
		(s3,s2) : 3.14431525767e-08
		(s3,s4) : 8.52895481512e-08
		(s3,h3) : 4.62836272921e-09
		(s4,s3) : 2.4620131636e-06
		(s4,s1) : 1.01827839669e-06
		(s4,h4) : 8.92916773446e-10
		(h1,s1) : 3.71741269063e-09
		(h2,s2) : 1.14585210476e-09
		(h3,s3) : 1.16732700728e-10
		(h4,s4) : 2.51742021926e-09
semimcfraeke	2	
		(s1,s2) : 2.28539103549e-06
		(s1,s4) : 1.64958810993e-06
		(s1,h1) : 7.51160389744e-10
		(s2,s1) : 3.8736955449e-07
		(s2,s3) : 2.00207588077e-06
		(s2,h2) : 9.37769445591e-10
		(s3,s2) : 2.16323612258e-08
		(s3,s4) : 5.34261018038e-08
		(s3,h3) : 4.28746691626e-09
		(s4,s3) : 2.28539103549e-06
		(s4,s1) : 8.44343960285e-07
		(s4,h4) : 8.24552198872e-10
		(h1,s1) : 3.45442602038e-09
		(h2,s2) : 1.02019148413e-09
		(h3,s3) : 7.50584630296e-11
		(h4,s4) : 2.25127298292e-09
semimcfraeke	3	
		(s1,s2) : 2.00676325476e-06
		(s1,s4) : 1.48677128321e-06
		(s1,h1) : 7.12175823748e-10
		(s2,s1) : 4.27432276309e-07
		(s2,s3) : 1.89608034911e-06
		(s2,h2) : 8.25655295514e-10
		(s3,s2) : 1.90461250022e-08
		(s3,s4) : 4.70387935638e-08
		(s3,h3) : 3.90284360386e-09
		(s4,s3) : 2.00676325476e-06
		(s4,s1) : 7.43399205618e-07
		(s4,h4) : 7.61528244242e-10
		(h1,s1) : 3.03487887979e-09
		(h2,s2) : 1.12335854117e-09
		(h3,s3) : 6.6084918566e-11
		(h4,s4) : 1.97788062785e-09
semimcfraeke	4	
		(s1,s2) : 1.81176643493e-06
		(s1,s4) : 1.30815588823e-06
		(s1,h1) : 6.08500828966e-10
		(s2,s1) : 3.70718434453e-07
		(s2,s3) : 1.72456347803e-06
		(s2,h2) : 7.45426520705e-10
		(s3,s2) : 1.71954166144e-08
		(s3,s4) : 3.99964665994e-08
		(s3,h3) : 3.53632991295e-09
		(s4,s3) : 1.81176643493e-06
		(s4,s1) : 6.46068376489e-07
		(s4,h4) : 6.52306234464e-10
		(h1,s1) : 2.71163634118e-09
		(h2,s2) : 1.01174658164e-09
		(h3,s3) : 5.71918832138e-11
		(h4,s4) : 1.76198869105e-09
semimcfraeke	5	
		(s1,s2) : 1.83240684262e-06
		(s1,s4) : 1.35595971858e-06
		(s1,h1) : 8.1532411743e-10
		(s2,s1) : 4.54648939893e-07
		(s2,s3) : 1.8959725569e-06
		(s2,h2) : 6.40114453621e-10
		(s3,s2) : 1.63168245926e-08
		(s3,s4) : 5.38184512407e-08
		(s3,h3) : 3.7919451138e-09
		(s4,s3) : 1.8959725569e-06
		(s4,s1) : 7.43420701474e-07
		(s4,h4) : 7.01571125537e-10
		(h1,s1) : 2.80562103726e-09
		(h2,s2) : 1.14201228321e-09
		(h3,s3) : 7.01352758333e-11
		(h4,s4) : 1.93118621409e-09
semimcfraeke	6	
		(s1,s2) : 1.67316464381e-06
		(s1,s4) : 1.25209969142e-06
		(s1,h1) : 7.57062681019e-10
		(s2,s1) : 4.23741049133e-07
		(s2,s3) : 1.7312062881e-06
		(s2,h2) : 5.83449193276e-10
		(s3,s2) : 1.38616356999e-08
		(s3,s4) : 4.66733388603e-08
		(s3,h3) : 3.46241257619e-09
		(s4,s3) : 1.7312062881e-06
		(s4,s1) : 6.86179380864e-07
		(s4,h4) : 6.53613750823e-10
		(h1,s1) : 2.57240658626e-09
		(h2,s2) : 1.05137025099e-09
		(h3,s3) : 6.05349745601e-11
		(h4,s4) : 1.7722263895e-09
semimcfraeke	7	
		(s1,s2) : 1.72523554601e-06
		(s1,s4) : 1.21415116359e-06
		(s1,h1) : 6.97492458858e-10
