# solver	iter	time	stddev
semimcfraeke	0	0.098295	0.000000
semimcfraeke	1	0.049865	0.000000
semimcfraeke	2	0.172174	0.000000
semimcfraeke	3	0.140947	0.000000
semimcfraeke	4	0.135019	0.000000
semimcfraeke	5	0.153217	0.000000
semimcfraeke	6	0.096216	0.000000
semimcfraeke	7	0.164785	0.000000
semimcfraeke	8	0.162131	0.000000
semimcfraeke	9	0.047082	0.000000
semimcfraeke	10	0.174001	0.000000
semimcfraeke	11	0.140620	0.000000
semimcfraeke	12	0.154599	0.000000
semimcfraeke	13	0.168451	0.000000
semimcfraeke	14	0.172019	0.000000
semimcfraeke	15	0.179401	0.000000
semimcfraeke	16	0.141102	0.000000
semimcfraeke	17	0.140445	0.000000
semimcfraeke	18	0.045278	0.000000
semimcfraeke	19	0.160670	0.000000
semimcfraeke	20	0.100422	0.000000
semimcfraeke	21	0.140837	0.000000
semimcfraeke	22	0.160121	0.000000
semimcfraeke	23	0.079833	0.000000
semimcfraeke	24	0.162430	0.000000
semimcfraeke	25	0.084416	0.000000
semimcfraeke	26	0.138731	0.000000
semimcfraeke	27	0.142789	0.000000
semimcfraeke	28	0.093080	0.000000
semimcfraeke	29	0.189761	0.000000
semimcfraeke	30	0.158893	0.000000
semimcfraeke	31	0.085789	0.000000
semimcfraeke	32	0.161832	0.000000
semimcfraeke	33	0.157656	0.000000
semimcfraeke	34	0.119020	0.000000
semimcfraeke	35	0.143264	0.000000
semimcfraeke	36	0.049273	0.000000
semimcfraeke	37	0.247245	0.000000
semimcfraeke	38	0.145071	0.000000
semimcfraeke	39	0.114246	0.000000
semimcfraeke	40	0.137286	0.000000
semimcfraeke	41	0.139603	0.000000
semimcfraeke	42	0.114026	0.000000
semimcfraeke	43	0.149322	0.000000
semimcfraeke	44	0.098135	0.000000
semimcfraeke	45	0.138249	0.000000
semimcfraeke	46	0.200388	0.000000
semimcfraeke	47	0.083283	0.000000
semimcfraeke	48	0.136181	0.000000
semimcfraeke	49	0.176313	0.000000
semimcfraeke	50	0.080136	0.000000
semimcfraeke	51	0.178944	0.000000
semimcfraeke	52	0.180652	0.000000
semimcfraeke	53	0.115028	0.000000
semimcfraeke	54	0.177536	0.000000
semimcfraeke	55	0.160827	0.000000
semimcfraeke	56	0.138982	0.000000
semimcfraeke	57	0.139927	0.000000
semimcfraeke	58	0.158879	0.000000
semimcfraeke	59	0.139665	0.000000
semimcfraeke	60	0.090809	0.000000
semimcfraeke	61	0.153451	0.000000
semimcfraeke	62	0.176240	0.000000
semimcfraeke	63	0.141185	0.000000
semimcfraeke	64	0.156173	0.000000
semimcfraeke	65	0.137254	0.000000
semimcfraeke	66	0.138689	0.000000
semimcfraeke	67	0.160232	0.000000
semimcfraeke	68	0.174184	0.000000
semimcfraeke	69	0.138199	0.000000
semimcfraeke	70	0.141437	0.000000
semimcfraeke	71	0.138582	0.000000
semimcfraeke	72	0.176456	0.000000
semimcfraeke	73	0.160205	0.000000
semimcfraeke	74	0.154597	0.000000
semimcfraeke	75	0.158055	0.000000
semimcfraeke	76	0.159709	0.000000
semimcfraeke	77	0.157730	0.000000
semimcfraeke	78	0.136523	0.000000
semimcfraeke	79	0.142623	0.000000
semimcfraeke	80	0.136743	0.000000
semimcfraeke	81	0.202434	0.000000
semimcfraeke	82	0.158379	0.000000
semimcfraeke	83	0.158394	0.000000
semimcfraeke	84	0.139298	0.000000
semimcfraeke	85	0.159660	0.000000
semimcfraeke	86	0.137640	0.000000
semimcfraeke	87	0.159280	0.000000
semimcfraeke	88	0.139740	0.000000
semimcfraeke	89	0.157976	0.000000
semimcfraeke	90	0.173146	0.000000
semimcfraeke	91	0.136564	0.000000
semimcfraeke	92	0.161853	0.000000
semimcfraeke	93	0.173300	0.000000
semimcfraeke	94	0.151270	0.000000
semimcfraeke	95	0.176100	0.000000
semimcfraeke	96	0.140364	0.000000
semimcfraeke	97	0.159672	0.000000
semimcfraeke	98	0.157006	0.000000
semimcfraeke	99	0.159083	0.000000
semimcfraeke	100	0.138499	0.000000
semimcfraeke	101	0.154453	0.000000
semimcfraeke	102	0.156878	0.000000
semimcfraeke	103	0.144339	0.000000
semimcfraeke	104	0.140044	0.000000
semimcfraeke	105	0.173647	0.000000
semimcfraeke	106	0.143095	0.000000
semimcfraeke	107	0.172135	0.000000
semimcfraeke	108	0.140758	0.000000
semimcfraeke	109	0.112283	0.000000
semimcfraeke	110	0.167595	0.000000
semimcfraeke	111	0.179392	0.000000
semimcfraeke	112	0.137797	0.000000
semimcfraeke	113	0.138234	0.000000
semimcfraeke	114	0.138503	0.000000
semimcfraeke	115	0.112629	0.000000
semimcfraeke	116	0.161437	0.000000
semimcfraeke	117	0.145243	0.000000
semimcfraeke	118	0.093072	0.000000
semimcfraeke	119	0.146455	0.000000
semimcfraeke	120	0.057419	0.000000
semimcfraeke	121	0.088414	0.000000
semimcfraeke	122	0.081676	0.000000
semimcfraeke	123	0.062760	0.000000
semimcfraeke	124	0.064469	0.000000
semimcfraeke	125	0.080490	0.000000
semimcfraeke	126	0.176864	0.000000
semimcfraeke	127	0.180118	0.000000
semimcfraeke	128	0.145191	0.000000
semimcfraeke	129	0.159955	0.000000
semimcfraeke	130	0.176105	0.000000
semimcfraeke	131	0.139809	0.000000
semimcfraeke	132	0.139466	0.000000
semimcfraeke	133	0.158827	0.000000
semimcfraeke	134	0.143531	0.000000
semimcfraeke	135	0.141363	0.000000
semimcfraeke	136	0.138238	0.000000
semimcfraeke	137	0.158974	0.000000
semimcfraeke	138	0.157435	0.000000
semimcfraeke	139	0.140881	0.000000
semimcfraeke	140	0.196317	0.000000
semimcfraeke	141	0.145812	0.000000
semimcfraeke	142	0.158575	0.000000
semimcfraeke	143	0.160947	0.000000
semimcfraeke	144	0.137066	0.000000
semimcfraeke	145	0.138346	0.000000
semimcfraeke	146	0.140390	0.000000
semimcfraeke	147	0.138969	0.000000
semimcfraeke	148	0.161818	0.000000
semimcfraeke	149	0.157919	0.000000
semimcfraeke	150	0.144249	0.000000
semimcfraeke	151	0.155883	0.000000
semimcfraeke	152	0.152305	0.000000
semimcfraeke	153	0.175823	0.000000
semimcfraeke	154	0.141789	0.000000
semimcfraeke	155	0.158460	0.000000
semimcfraeke	156	0.161024	0.000000
semimcfraeke	157	0.169029	0.000000
semimcfraeke	158	0.140456	0.000000
semimcfraeke	159	0.174628	0.000000
semimcfraeke	160	0.162529	0.000000
semimcfraeke	161	0.176612	0.000000
semimcfraeke	162	0.152737	0.000000
semimcfraeke	163	0.150111	0.000000
semimcfraeke	164	0.156682	0.000000
semimcfraeke	165	0.148828	0.000000
semimcfraeke	166	0.134735	0.000000
semimcfraeke	167	0.156167	0.000000
semimcfraeke	168	0.140282	0.000000
semimcfraeke	169	0.138668	0.000000
semimcfraeke	170	0.152419	0.000000
semimcfraeke	171	0.202809	0.000000
semimcfraeke	172	0.171712	0.000000
semimcfraeke	173	0.155614	0.000000
semimcfraeke	174	0.157658	0.000000
semimcfraeke	175	0.182180	0.000000
semimcfraeke	176	0.177003	0.000000
semimcfraeke	177	0.138106	0.000000
semimcfraeke	178	0.160510	0.000000
semimcfraeke	179	0.158306	0.000000
semimcfraeke	180	0.139183	0.000000
semimcfraeke	181	0.148596	0.000000
semimcfraeke	182	0.158092	0.000000
semimcfraeke	183	0.175088	0.000000
semimcfraeke	184	0.170369	0.000000
semimcfraeke	185	0.152647	0.000000
semimcfraeke	186	0.151802	0.000000
semimcfraeke	187	0.145429	0.000000
semimcfraeke	188	0.140197	0.000000
semimcfraeke	189	0.139335	0.000000
semimcfraeke	190	0.139863	0.000000
semimcfraeke	191	0.152840	0.000000
semimcfraeke	192	0.139427	0.000000
semimcfraeke	193	0.137733	0.000000
semimcfraeke	194	0.139922	0.000000
semimcfraeke	195	0.137019	0.000000
semimcfraeke	196	0.139242	0.000000
semimcfraeke	197	0.155053	0.000000
semimcfraeke	198	0.159751	0.000000
semimcfraeke	199	0.177757	0.000000

