# solver	iter	edge-exp-congestion
ecmp	0	
		(s1,s2) : 0.0086266763707
		(s1,h1) : 2.36918546011e-05
		(s2,s1) : 0.0236918546011
		(s2,s5) : 0.391033371984
		(s2,s6) : 0.245190157837
		(s2,s12) : 0.337948400378
		(s2,h2) : 0.000273432265346
		(s3,s6) : 0.206106527249
		(s3,s9) : 0.146226907025
		(s3,h3) : 0.000431006879136
		(s4,s7) : 0.183373723047
		(s4,s10) : 0.0340605162829
		(s4,s11) : 0.0801763795481
		(s4,h4) : 0.000115647280266
		(s5,s2) : 0.328585605079
		(s5,s7) : 0.139830763485
		(s5,s8) : 0.332940749952
		(s5,h5) : 0.000112769898971
		(s6,s2) : 0.187282875574
		(s6,s3) : 0.32149102442
		(s6,s7) : 0.230799522346
		(s6,h6) : 0.000249007334535
		(s7,s4) : 0.186844540379
		(s7,s5) : 0.102145369521
		(s7,s6) : 0.246296808666
		(s7,h7) : 0.000101222960775
		(s8,s5) : 0.273683685892
		(s8,s10) : 0.0760817122741
		(s8,h8) : 0.000325565249373
		(s9,s3) : 0.33633501865
		(s9,s12) : 0.28176590465
		(s9,h9) : 0.000338511838788
		(s10,s4) : 0.0318794690073
		(s10,s8) : 0.0668013650509
		(s10,s11) : 0.0311486365233
		(s10,h10) : 5.4010495017e-05
		(s11,s4) : 0.079730233219
		(s11,s10) : 0.0301501348697
		(s11,h11) : 0.000111325016071
		(s12,s2) : 0.551794264341
		(s12,s9) : 0.336263808136
		(s12,h12) : 0.000348819318985
		(h1,s1) : 8.6266763707e-06
		(h2,s2) : 0.000195006628782
		(h3,s3) : 0.00012551427034
		(h4,s4) : 0.000114803656538
		(h5,s5) : 0.000147264590089
		(h6,s6) : 0.000290987263123
		(h7,s7) : 8.2505670463e-05
		(h8,s8) : 0.000275588532537
		(h9,s9) : 0.000474122046928
		(h10,s10) : 4.35476021717e-05
		(h11,s11) : 0.000109880368089
		(h12,s12) : 0.000617163086434
ecmp	1	
		(s1,s2) : 0.00864948797475
		(s1,h1) : 3.36862973124e-05
		(s2,s1) : 0.0336862973124
		(s2,s5) : 0.385971825738
		(s2,s6) : 0.228228306311
		(s2,s12) : 0.323818166206
		(s2,h2) : 0.00025438510249
		(s3,s6) : 0.209755711307
		(s3,s9) : 0.149870985498
		(s3,h3) : 0.000385733116692
		(s4,s7) : 0.175481258424
		(s4,s10) : 0.0336831481755
		(s4,s11) : 0.0874093571057
		(s4,h4) : 0.000113472981229
		(s5,s2) : 0.293122365963
		(s5,s7) : 0.1222253093
		(s5,s8) : 0.315220513252
		(s5,h5) : 0.000107526195422
		(s6,s2) : 0.187815572578
		(s6,s3) : 0.288932025706
		(s6,s7) : 0.235518942165
		(s6,h6) : 0.000240111047775
		(s7,s4) : 0.191804638331
		(s7,s5) : 0.102632331683
		(s7,s6) : 0.232073299173
		(s7,h7) : 9.8503702432e-05
		(s8,s5) : 0.280207992776
		(s8,s10) : 0.0783118609662
		(s8,h8) : 0.000306129906227
		(s9,s3) : 0.32722219651
		(s9,s12) : 0.288202894976
		(s9,h9) : 0.000334243942946
		(s10,s4) : 0.0306726547579
		(s10,s8) : 0.0635103756521
		(s10,s11) : 0.0331723296146
		(s10,h10) : 5.4285109746e-05
		(s11,s4) : 0.0766503269887
		(s11,s10) : 0.0291120167656
		(s11,h11) : 0.00012058168672
		(s12,s2) : 0.561079141001
		(s12,s9) : 0.325190900167
		(s12,h12) : 0.000356429217507
		(h1,s1) : 8.64948797475e-06
		(h2,s2) : 0.000175423130542
		(h3,s3) : 0.000129205591281
		(h4,s4) : 0.000110919124857
		(h5,s5) : 6.92822337399e-05
		(h6,s6) : 0.000282320271432
		(h7,s7) : 9.17884617299e-05
		(h8,s8) : 0.000285918871065
		(h9,s9) : 0.000474607148766
		(h10,s10) : 4.05334438632e-05
		(h11,s11) : 0.000105762343754
		(h12,s12) : 0.000630678197493
ecmp	2	
		(s1,s2) : 0.00755082657437
		(s1,h1) : 3.25135298322e-05
		(s2,s1) : 0.0325135298322
		(s2,s5) : 0.421148097619
		(s2,s6) : 0.239335468189
		(s2,s12) : 0.359980495721
		(s2,h2) : 0.000246440315445
		(s3,s6) : 0.198233251199
		(s3,s9) : 0.151315441976
		(s3,h3) : 0.000409967553168
		(s4,s7) : 0.185382826113
		(s4,s10) : 0.0337583770603
		(s4,s11) : 0.0926830803023
		(s4,h4) : 0.000110854470829
