# solver	iter	max-exp-congestion	stddev
ecmp	0	0.551794	0.000000
ecmp	1	0.561079	0.000000
ecmp	2	0.576795	0.000000
ecmp	3	0.564472	0.000000
ecmp	4	0.544397	0.000000
ecmp	5	0.520286	0.000000
ecmp	6	0.523067	0.000000
ecmp	7	0.510675	0.000000
ecmp	8	0.513253	0.000000
ecmp	9	0.508940	0.000000
ecmp	10	0.504088	0.000000
ecmp	11	0.511474	0.000000
ecmp	12	0.527766	0.000000
ecmp	13	0.545681	0.000000
ecmp	14	0.552032	0.000000
ecmp	15	0.532254	0.000000
ecmp	16	0.546423	0.000000
ecmp	17	0.569385	0.000000
ecmp	18	0.527418	0.000000
ecmp	19	0.493395	0.000000
ecmp	20	0.542383	0.000000
ecmp	21	0.550125	0.000000
ecmp	22	0.557892	0.000000
ecmp	23	0.515480	0.000000
ecmp	24	0.514393	0.000000
ecmp	25	0.537903	0.000000
ecmp	26	0.551139	0.000000
ecmp	27	0.569628	0.000000
ecmp	28	0.572887	0.000000
ecmp	29	0.535666	0.000000
ecmp	30	0.514158	0.000000
ecmp	31	0.537022	0.000000
ecmp	32	0.571150	0.000000
ecmp	33	0.539475	0.000000
ecmp	34	0.579521	0.000000
ecmp	35	0.533676	0.000000

