# solver	iter	mean-exp-congestion	stddev
ecmp	0	0.108023	0.000000
ecmp	1	0.105630	0.000000
ecmp	2	0.110882	0.000000
ecmp	3	0.108012	0.000000
ecmp	4	0.105043	0.000000
ecmp	5	0.105490	0.000000
ecmp	6	0.108351	0.000000
ecmp	7	0.107051	0.000000
ecmp	8	0.108284	0.000000
ecmp	9	0.103550	0.000000
ecmp	10	0.101364	0.000000
ecmp	11	0.103694	0.000000
ecmp	12	0.105649	0.000000
ecmp	13	0.108842	0.000000
ecmp	14	0.109665	0.000000
ecmp	15	0.109566	0.000000
ecmp	16	0.109726	0.000000
ecmp	17	0.113597	0.000000
ecmp	18	0.110831	0.000000
ecmp	19	0.105169	0.000000
ecmp	20	0.111265	0.000000
ecmp	21	0.109458	0.000000
ecmp	22	0.109495	0.000000
ecmp	23	0.105507	0.000000
ecmp	24	0.106074	0.000000
ecmp	25	0.108908	0.000000
ecmp	26	0.111474	0.000000
ecmp	27	0.111656	0.000000
ecmp	28	0.112759	0.000000
ecmp	29	0.108737	0.000000
ecmp	30	0.113762	0.000000
ecmp	31	0.115278	0.000000
ecmp	32	0.121222	0.000000
ecmp	33	0.118274	0.000000
ecmp	34	0.116167	0.000000
ecmp	35	0.111698	0.000000

