# solver	iter	total-throughput	stddev
ecmp	0	1.000000	0.000000
ecmp	1	1.000000	0.000000
ecmp	2	1.000000	0.000000
ecmp	3	1.000000	0.000000
ecmp	4	1.000000	0.000000
ecmp	5	1.000000	0.000000
ecmp	6	1.000000	0.000000
ecmp	7	1.000000	0.000000
ecmp	8	1.000000	0.000000
ecmp	9	1.000000	0.000000
ecmp	10	1.000000	0.000000
ecmp	11	1.000000	0.000000
ecmp	12	1.000000	0.000000
ecmp	13	1.000000	0.000000
ecmp	14	1.000000	0.000000
ecmp	15	1.000000	0.000000
ecmp	16	1.000000	0.000000
ecmp	17	1.000000	0.000000
ecmp	18	1.000000	0.000000
ecmp	19	1.000000	0.000000
ecmp	20	1.000000	0.000000
ecmp	21	1.000000	0.000000
ecmp	22	1.000000	0.000000
ecmp	23	1.000000	0.000000
ecmp	24	1.000000	0.000000
ecmp	25	1.000000	0.000000
ecmp	26	1.000000	0.000000
ecmp	27	1.000000	0.000000
ecmp	28	1.000000	0.000000
ecmp	29	1.000000	0.000000
ecmp	30	1.000000	0.000000
ecmp	31	1.000000	0.000000
ecmp	32	1.000000	0.000000
ecmp	33	1.000000	0.000000
ecmp	34	1.000000	0.000000
ecmp	35	1.000000	0.000000

