# solver	iter	.0.400000-congestion	stddev
ecmp	0	0.000431	0.000000
ecmp	1	0.000386	0.000000
ecmp	2	0.000410	0.000000
ecmp	3	0.000423	0.000000
ecmp	4	0.000435	0.000000
ecmp	5	0.000419	0.000000
ecmp	6	0.000431	0.000000
ecmp	7	0.000420	0.000000
ecmp	8	0.000423	0.000000
ecmp	9	0.000423	0.000000
ecmp	10	0.000417	0.000000
ecmp	11	0.000407	0.000000
ecmp	12	0.000426	0.000000
ecmp	13	0.000454	0.000000
ecmp	14	0.000435	0.000000
ecmp	15	0.000456	0.000000
ecmp	16	0.000455	0.000000
ecmp	17	0.000448	0.000000
ecmp	18	0.000449	0.000000
ecmp	19	0.000443	0.000000
ecmp	20	0.000462	0.000000
ecmp	21	0.000434	0.000000
ecmp	22	0.000440	0.000000
ecmp	23	0.000449	0.000000
ecmp	24	0.000451	0.000000
ecmp	25	0.000457	0.000000
ecmp	26	0.000446	0.000000
ecmp	27	0.000454	0.000000
ecmp	28	0.000473	0.000000
ecmp	29	0.000465	0.000000
ecmp	30	0.000480	0.000000
ecmp	31	0.000480	0.000000
ecmp	32	0.000468	0.000000
ecmp	33	0.000459	0.000000
ecmp	34	0.000474	0.000000
ecmp	35	0.000467	0.000000

