# solver	iter	.0.950000-exp-congestion	stddev
ecmp	0	0.337948	0.000000
ecmp	1	0.327222	0.000000
ecmp	2	0.359980	0.000000
ecmp	3	0.362374	0.000000
ecmp	4	0.347857	0.000000
ecmp	5	0.356273	0.000000
ecmp	6	0.353435	0.000000
ecmp	7	0.357541	0.000000
ecmp	8	0.389547	0.000000
ecmp	9	0.343138	0.000000
ecmp	10	0.339540	0.000000
ecmp	11	0.334188	0.000000
ecmp	12	0.356838	0.000000
ecmp	13	0.358208	0.000000
ecmp	14	0.359214	0.000000
ecmp	15	0.367882	0.000000
ecmp	16	0.346735	0.000000
ecmp	17	0.361519	0.000000
ecmp	18	0.355581	0.000000
ecmp	19	0.339058	0.000000
ecmp	20	0.354917	0.000000
ecmp	21	0.353218	0.000000
ecmp	22	0.350237	0.000000
ecmp	23	0.345576	0.000000
ecmp	24	0.350449	0.000000
ecmp	25	0.362683	0.000000
ecmp	26	0.363114	0.000000
ecmp	27	0.371526	0.000000
ecmp	28	0.369783	0.000000
ecmp	29	0.354618	0.000000
ecmp	30	0.377596	0.000000
ecmp	31	0.377754	0.000000
ecmp	32	0.432532	0.000000
ecmp	33	0.372844	0.000000
ecmp	34	0.361396	0.000000
ecmp	35	0.347690	0.000000

